Provincia de procedencia;Relación entre procedencia y destino;Nacionalidad;Sexo;Total
Ciudad Real;Total;Extranjeros;Mujeres;1.165
Ciudad Real;A la misma provincia;Total;Total;4.945
Ciudad Real;A la misma provincia;Total;Hombres;2.448
Ciudad Real;A la misma provincia;Total;Mujeres;2.497
Ciudad Real;A la misma provincia;Españoles;Total;4.272
Ciudad Real;A la misma provincia;Españoles;Hombres;2.146
Ciudad Real;A la misma provincia;Españoles;Mujeres;2.126
Ciudad Real;A la misma provincia;Extranjeros;Total;673
Ciudad Real;A la misma provincia;Extranjeros;Hombres;302
Ciudad Real;A la misma provincia;Extranjeros;Mujeres;371
Ciudad Real;A otras provincias;Total;Total;8.450
Ciudad Real;A otras provincias;Total;Hombres;4.262
Ciudad Real;A otras provincias;Total;Mujeres;4.188
Ciudad Real;A otras provincias;Españoles;Total;6.780
Ciudad Real;A otras provincias;Españoles;Hombres;3.386
Ciudad Real;A otras provincias;Españoles;Mujeres;3.394
Ciudad Real;A otras provincias;Extranjeros;Total;1.670
Ciudad Real;A otras provincias;Extranjeros;Hombres;876
Ciudad Real;A otras provincias;Extranjeros;Mujeres;794
Córdoba;Total;Total;Total;15.811
Córdoba;Total;Total;Hombres;7.847
Córdoba;Total;Total;Mujeres;7.964
Córdoba;Total;Españoles;Total;14.034
Córdoba;Total;Españoles;Hombres;6.949
Córdoba;Total;Españoles;Mujeres;7.085
Córdoba;Total;Extranjeros;Total;1.777
Córdoba;Total;Extranjeros;Hombres;898
Córdoba;Total;Extranjeros;Mujeres;879
Córdoba;A la misma provincia;Total;Total;5.568
Córdoba;A la misma provincia;Total;Hombres;2.683
Córdoba;A la misma provincia;Total;Mujeres;2.885
Córdoba;A la misma provincia;Españoles;Total;5.245
Córdoba;A la misma provincia;Españoles;Hombres;2.535
Córdoba;A la misma provincia;Españoles;Mujeres;2.710
Córdoba;A la misma provincia;Extranjeros;Total;323
Córdoba;A la misma provincia;Extranjeros;Hombres;148
Córdoba;A la misma provincia;Extranjeros;Mujeres;175
Córdoba;A otras provincias;Total;Total;10.243
Córdoba;A otras provincias;Total;Hombres;5.164
Córdoba;A otras provincias;Total;Mujeres;5.079
Córdoba;A otras provincias;Españoles;Total;8.789
Córdoba;A otras provincias;Españoles;Hombres;4.414
Córdoba;A otras provincias;Españoles;Mujeres;4.375
Córdoba;A otras provincias;Extranjeros;Total;1.454
Córdoba;A otras provincias;Extranjeros;Hombres;750
Córdoba;A otras provincias;Extranjeros;Mujeres;704
Coruña, A;Total;Total;Total;32.566
Coruña, A;Total;Total;Hombres;16.141
Coruña, A;Total;Total;Mujeres;16.425
Coruña, A;Total;Españoles;Total;29.390
Coruña, A;Total;Españoles;Hombres;14.603
Coruña, A;Total;Españoles;Mujeres;14.787
Coruña, A;Total;Extranjeros;Total;3.176
Coruña, A;Total;Extranjeros;Hombres;1.538
Coruña, A;Total;Extranjeros;Mujeres;1.638
Coruña, A;A la misma provincia;Total;Total;21.249
Coruña, A;A la misma provincia;Total;Hombres;10.392
Coruña, A;A la misma provincia;Total;Mujeres;10.857
Coruña, A;A la misma provincia;Españoles;Total;19.640
Coruña, A;A la misma provincia;Españoles;Hombres;9.638
Coruña, A;A la misma provincia;Españoles;Mujeres;10.002
Coruña, A;A la misma provincia;Extranjeros;Total;1.609
Coruña, A;A la misma provincia;Extranjeros;Hombres;754
Coruña, A;A la misma provincia;Extranjeros;Mujeres;855
Coruña, A;A otras provincias;Total;Total;11.317
Coruña, A;A otras provincias;Total;Hombres;5.749
Coruña, A;A otras provincias;Total;Mujeres;5.568
Coruña, A;A otras provincias;Españoles;Total;9.750
Coruña, A;A otras provincias;Españoles;Hombres;4.965
Coruña, A;A otras provincias;Españoles;Mujeres;4.785
Coruña, A;A otras provincias;Extranjeros;Total;1.567
Coruña, A;A otras provincias;Extranjeros;Hombres;784
Coruña, A;A otras provincias;Extranjeros;Mujeres;783
Cuenca;Total;Total;Total;6.658
Cuenca;Total;Total;Hombres;3.374
Cuenca;Total;Total;Mujeres;3.284
Cuenca;Total;Españoles;Total;5.076
Cuenca;Total;Españoles;Hombres;2.550
Cuenca;Total;Españoles;Mujeres;2.526
Cuenca;Total;Extranjeros;Total;1.582
Cuenca;Total;Extranjeros;Hombres;824
Cuenca;Total;Extranjeros;Mujeres;758
Cuenca;A la misma provincia;Total;Total;1.936
Cuenca;A la misma provincia;Total;Hombres;1.004
Cuenca;A la misma provincia;Total;Mujeres;932
Cuenca;A la misma provincia;Españoles;Total;1.508
Cuenca;A la misma provincia;Españoles;Hombres;785
Cuenca;A la misma provincia;Españoles;Mujeres;723
Cuenca;A la misma provincia;Extranjeros;Total;428
Cuenca;A la misma provincia;Extranjeros;Hombres;219
Cuenca;A la misma provincia;Extranjeros;Mujeres;209
Cuenca;A otras provincias;Total;Total;4.722
Cuenca;A otras provincias;Total;Hombres;2.370
Cuenca;A otras provincias;Total;Mujeres;2.352
